episode,success,steps,episode_reward,time_sec
1,0,100,-19.650000,0.263
2,0,100,-19.800000,0.268
3,0,100,-19.865000,0.280
4,0,100,-19.600000,0.300
5,0,100,-20.000000,0.272
6,0,100,-19.960000,0.271
7,0,100,-19.760000,0.265
8,0,100,-20.000000,0.273
9,0,100,-19.960000,0.256
10,0,100,-20.000000,0.257
11,0,100,-19.425000,0.270
12,0,100,-19.980000,0.262
13,0,100,-19.740000,0.266
14,0,100,-19.930000,0.273
15,0,100,-20.000000,0.261
16,0,100,-19.990000,0.300
17,0,100,-19.560000,0.305
18,0,100,-20.000000,0.265
19,0,100,-19.925000,0.256
20,0,100,-19.470000,0.285
21,0,100,-19.750000,0.269
22,0,100,-19.980000,0.273
23,0,100,-19.980000,0.280
24,0,100,-19.830000,0.268
25,0,100,-19.880000,0.268
26,0,100,-19.730000,0.266
27,0,100,-19.690000,0.271
28,0,100,-19.805000,0.328
29,0,100,-19.790000,0.274
30,0,100,-19.620000,0.278
31,0,100,-20.000000,0.287
32,0,100,-19.930000,0.265
33,0,100,-19.890000,0.266
34,0,100,-19.860000,0.275
35,0,100,-20.000000,0.282
36,0,100,-20.000000,0.284
37,0,100,-19.665000,0.314
38,1,46,0.855000,0.124
39,0,100,-19.790000,0.281
40,0,100,-19.970000,0.279
41,0,100,-19.575000,0.278
42,0,100,-19.610000,0.291
43,0,100,-19.770000,0.294
44,0,100,-19.960000,0.264
45,0,100,-19.735000,0.277
46,0,100,-20.000000,0.272
47,0,100,-19.960000,0.274
48,0,100,-19.570000,0.270
49,0,100,-19.740000,0.273
50,0,100,-19.610000,0.269
51,0,100,-19.940000,0.258
52,0,100,-19.870000,0.270
53,0,100,-19.900000,0.278
54,0,100,-19.810000,0.290
55,0,100,-19.515000,0.263
56,0,100,-19.890000,0.256
57,0,100,-19.780000,0.275
58,0,100,-19.910000,0.276
59,0,100,-20.000000,0.284
60,0,100,-20.000000,0.251
61,0,100,-19.780000,0.279
62,0,100,-19.860000,0.267
63,0,100,-19.720000,0.303
64,0,100,-19.950000,0.272
65,0,100,-20.000000,0.248
66,0,100,-19.950000,0.267
67,0,100,-19.960000,0.292
68,0,100,-19.760000,0.284
69,0,100,-19.630000,0.264
70,0,100,-20.000000,0.252
71,0,100,-19.970000,0.306
72,0,100,-20.000000,0.271
73,0,100,-19.890000,0.277
74,0,100,-19.920000,0.248
75,0,100,-19.930000,0.268
76,0,100,-19.920000,0.261
77,0,100,-19.805000,0.263
78,0,100,-19.880000,0.274
79,0,100,-19.680000,0.323
80,0,100,-19.880000,0.254
81,0,100,-19.640000,0.294
82,0,100,-19.740000,0.271
83,0,100,-20.000000,0.288
84,0,100,-19.960000,0.256
85,0,100,-20.000000,0.269
86,0,100,-19.970000,0.276
87,0,100,-20.000000,0.250
88,0,100,-19.605000,0.306
89,0,100,-19.610000,0.305
90,0,100,-19.840000,0.266
91,0,100,-19.840000,0.283
92,0,100,-19.885000,0.264
93,0,100,-20.000000,0.268
94,0,100,-20.000000,0.290
95,0,100,-19.685000,0.290
96,0,100,-19.940000,0.266
97,0,100,-20.000000,0.266
98,0,100,-20.000000,0.269
99,0,100,-19.870000,0.265
100,0,100,-19.990000,0.278
