episode,success,steps,episode_reward,time_sec
1,0,100,-20.000000,0.261
2,0,100,-19.850000,0.262
3,0,100,-19.245000,0.306
4,0,100,-19.265000,0.301
5,0,100,-20.000000,0.258
6,0,100,-19.890000,0.257
7,0,100,-19.285000,0.289
8,0,100,-19.980000,0.247
9,0,100,-20.000000,0.263
10,0,100,-19.730000,0.258
11,0,100,-19.970000,0.246
12,0,100,-20.000000,0.255
13,0,100,-19.570000,0.264
14,0,100,-20.000000,0.263
15,0,100,-20.000000,0.266
16,0,100,-20.000000,0.247
17,0,100,-19.780000,0.271
18,0,100,-20.000000,0.272
19,0,100,-19.215000,0.266
20,0,100,-19.090000,0.263
21,0,100,-19.990000,0.260
22,0,100,-19.760000,0.273
23,0,100,-19.760000,0.271
24,0,100,-19.430000,0.252
25,1,42,1.895000,0.126
26,0,100,-19.940000,0.268
27,1,71,-3.350000,0.206
28,0,100,-19.895000,0.273
29,0,100,-20.000000,0.241
30,0,100,-19.750000,0.287
31,0,100,-19.660000,0.281
32,0,100,-19.970000,0.262
33,0,100,-20.000000,0.263
34,0,100,-20.000000,0.264
35,0,100,-20.000000,0.267
36,0,100,-20.000000,0.270
37,0,100,-20.000000,0.256
38,0,100,-19.510000,0.264
39,0,100,-19.770000,0.253
40,0,100,-19.910000,0.249
41,1,72,-3.700000,0.196
42,0,100,-19.940000,0.255
43,0,100,-20.000000,0.243
44,0,100,-19.790000,0.264
45,0,100,-19.925000,0.268
46,0,100,-19.675000,0.287
47,0,100,-19.940000,0.263
48,0,100,-19.680000,0.267
49,0,100,-20.000000,0.261
50,0,100,-19.920000,0.268
51,0,100,-19.890000,0.266
52,0,100,-19.760000,0.249
53,0,100,-20.000000,0.243
54,0,100,-19.730000,0.265
55,0,100,-19.845000,0.261
56,0,100,-20.000000,0.256
57,0,100,-19.320000,0.290
58,0,100,-20.000000,0.244
59,0,100,-19.410000,0.259
60,0,100,-19.750000,0.307
61,0,100,-19.450000,0.257
62,0,100,-20.000000,0.271
63,0,100,-19.880000,0.260
64,0,100,-20.000000,0.270
65,0,100,-20.000000,0.242
66,0,100,-20.000000,0.268
67,0,100,-19.920000,0.245
68,0,100,-19.960000,0.251
69,0,100,-19.860000,0.247
70,0,100,-19.850000,0.258
71,0,100,-20.000000,0.267
72,0,100,-20.000000,0.269
73,0,100,-19.840000,0.264
74,0,100,-19.720000,0.252
75,0,100,-20.000000,0.258
76,0,100,-19.960000,0.243
77,0,100,-20.000000,0.268
78,0,100,-19.850000,0.246
79,0,100,-19.780000,0.266
80,0,100,-19.690000,0.304
81,0,100,-19.495000,0.287
82,0,100,-19.810000,0.268
83,0,100,-19.670000,0.256
84,0,100,-19.925000,0.256
85,0,100,-19.930000,0.243
86,0,100,-20.000000,0.259
87,0,100,-20.000000,0.241
88,0,100,-19.255000,0.264
89,0,100,-19.890000,0.267
90,1,44,1.830000,0.133
91,0,100,-19.860000,0.265
92,0,100,-19.740000,0.263
93,0,100,-20.000000,0.269
94,0,100,-19.860000,0.263
95,0,100,-20.000000,0.264
96,0,100,-20.000000,0.261
97,0,100,-20.000000,0.272
98,0,100,-19.805000,0.272
99,0,100,-19.730000,0.260
100,0,100,-20.000000,0.267
