episode,success,steps,episode_reward,time_sec
1,1,10,7.030000,0.053
2,1,16,5.266667,0.076
3,1,20,4.033333,0.083
4,1,15,10.600000,0.063
5,1,23,3.130000,0.100
6,1,24,7.830000,0.099
7,1,13,11.180000,0.058
8,1,15,10.640000,0.062
9,1,11,11.770000,0.046
10,1,20,9.100000,0.083
11,1,16,5.256667,0.071
12,1,6,8.230000,0.025
13,1,11,11.740000,0.045
14,1,13,11.280000,0.056
15,1,5,8.540000,0.023
16,1,7,7.930000,0.031
17,1,2,9.420000,0.012
18,1,14,10.850000,0.067
19,1,20,9.050000,0.082
20,1,13,6.120000,0.061
21,1,8,7.720000,0.042
22,1,4,8.830000,0.019
23,1,12,6.460000,0.051
24,1,17,4.920000,0.069
25,1,9,12.370000,0.044
26,1,12,11.460000,0.051
27,1,12,6.420000,0.047
28,1,59,-2.650000,0.255
29,1,13,6.160000,0.063
30,1,4,8.830000,0.021
31,1,11,11.750000,0.047
32,1,10,7.103333,0.042
33,1,35,-0.380000,0.145
34,1,16,10.283333,0.069
35,1,18,9.690000,0.077
36,1,12,6.466667,0.052
37,1,3,9.126667,0.017
38,1,5,8.530000,0.023
39,1,6,8.250000,0.030
40,1,17,4.953333,0.072
41,1,29,1.333333,0.112
42,1,5,8.530000,0.027
43,1,14,5.833333,0.060
44,1,9,12.340000,0.041
45,1,5,8.540000,0.023
46,1,10,12.110000,0.044
47,1,2,9.420000,0.010
48,1,2,9.420000,0.010
49,1,21,8.730000,0.088
50,1,12,6.450000,0.052
51,1,3,9.133333,0.017
52,1,7,7.966667,0.030
53,1,11,11.760000,0.055
54,1,8,12.640000,0.037
55,1,9,7.400000,0.043
56,1,29,1.503333,0.120
57,1,8,7.643333,0.038
58,1,15,10.580000,0.065
59,1,34,4.960000,0.139
60,1,8,7.640000,0.038
61,1,4,8.860000,0.021
62,1,21,8.800000,0.089
63,1,2,9.420000,0.012
64,1,7,7.950000,0.035
65,1,16,5.250000,0.067
66,1,6,8.230000,0.026
67,1,10,12.136667,0.048
68,1,23,8.170000,0.104
69,1,33,0.140000,0.137
70,1,7,7.950000,0.031
71,1,22,3.456667,0.099
72,1,3,9.140000,0.014
73,1,3,9.116667,0.014
74,1,3,9.120000,0.014
75,1,9,12.396667,0.045
76,1,25,7.620000,0.105
77,1,44,2.110000,0.223
78,1,9,7.326667,0.041
79,1,3,9.136667,0.014
80,1,13,11.170000,0.058
81,1,3,9.143333,0.015
82,1,7,7.980000,0.032
83,1,3,9.166667,0.015
84,1,9,12.350000,0.043
85,1,7,7.980000,0.031
86,1,7,8.010000,0.033
87,1,5,8.530000,0.023
88,1,24,3.290000,0.099
89,1,4,8.853333,0.021
90,1,10,12.120000,0.044
91,1,13,11.160000,0.062
92,1,8,7.660000,0.042
93,1,10,12.066667,0.047
94,1,13,6.250000,0.057
95,1,6,8.250000,0.027
96,1,6,8.253333,0.027
97,1,16,10.290000,0.068
98,1,4,8.866667,0.019
99,1,38,-1.350000,0.162
100,1,7,7.940000,0.034
