episode,success,steps,episode_reward,time_sec
1,1,12,7.725000,0.039
2,1,12,7.620000,0.035
3,1,9,8.230000,0.027
4,1,17,6.630000,0.050
5,1,16,6.820000,0.047
6,1,14,7.250000,0.043
7,1,10,8.030000,0.032
8,1,12,7.635000,0.035
9,1,17,6.665000,0.051
10,1,10,8.030000,0.035
11,1,3,9.425000,0.011
12,1,10,8.060000,0.031
13,1,9,8.250000,0.028
14,1,18,6.435000,0.052
15,1,16,6.835000,0.046
16,1,11,7.915000,0.034
17,1,11,7.970000,0.033
18,1,9,8.240000,0.030
19,1,18,6.455000,0.053
20,1,12,7.640000,0.038
21,1,13,7.450000,0.040
22,1,12,7.620000,0.038
23,1,7,8.640000,0.023
24,1,19,6.235000,0.053
25,1,16,6.835000,0.046
26,1,7,8.645000,0.023
27,1,13,7.475000,0.038
28,1,18,6.435000,0.051
29,1,23,5.420000,0.063
30,1,17,6.620000,0.048
31,1,13,7.515000,0.037
32,1,18,6.420000,0.054
33,1,14,7.255000,0.043
34,1,9,8.230000,0.030
35,1,11,7.850000,0.035
36,1,7,8.645000,0.022
37,1,3,9.450000,0.010
38,1,15,7.055000,0.044
39,1,5,9.065000,0.018
40,1,14,7.270000,0.043
41,1,15,7.090000,0.049
42,1,15,7.035000,0.044
43,1,18,6.495000,0.053
44,1,7,8.650000,0.023
45,1,3,9.425000,0.011
46,1,6,8.855000,0.019
47,1,10,8.080000,0.029
48,1,11,7.830000,0.035
49,1,6,8.885000,0.021
50,1,10,8.060000,0.030
51,1,12,7.665000,0.038
52,1,19,6.240000,0.053
53,1,7,8.655000,0.023
54,1,12,7.640000,0.037
55,1,19,6.250000,0.052
56,1,7,8.655000,0.023
57,1,6,8.840000,0.019
58,1,7,8.655000,0.023
59,1,8,8.495000,0.025
60,1,6,8.885000,0.022
61,1,18,6.460000,0.053
62,1,13,7.435000,0.036
63,1,12,7.655000,0.037
64,1,11,7.860000,0.034
65,1,9,8.285000,0.029
66,1,17,6.690000,0.049
67,1,8,8.495000,0.026
68,1,5,9.030000,0.018
69,1,6,8.840000,0.020
70,1,9,8.285000,0.029
71,1,20,6.055000,0.059
72,1,3,9.425000,0.011
73,1,10,8.085000,0.032
74,1,15,7.050000,0.042
75,1,11,7.830000,0.034
76,1,18,6.435000,0.050
77,1,12,7.640000,0.036
78,1,15,7.030000,0.045
79,1,11,7.850000,0.034
80,1,23,5.450000,0.064
81,1,13,7.460000,0.040
82,1,12,7.685000,0.036
83,1,11,7.820000,0.031
84,1,6,8.855000,0.020
85,1,16,6.855000,0.049
86,1,17,6.630000,0.050
87,1,17,6.650000,0.049
88,1,14,7.290000,0.043
89,1,7,8.630000,0.023
90,1,12,7.635000,0.035
91,1,18,6.435000,0.050
92,1,18,6.595000,0.060
93,1,4,9.220000,0.014
94,1,16,6.850000,0.045
95,1,8,8.530000,0.024
96,1,14,7.285000,0.044
97,1,24,5.260000,0.068
98,1,13,7.430000,0.041
99,1,8,8.430000,0.024
100,1,19,6.260000,0.057
