episode,success,steps,episode_reward,time_sec
1,0,100,-29.330000,0.413
2,0,100,-29.810000,0.391
3,0,100,-29.680000,0.406
4,0,100,-29.850000,0.373
5,0,100,-29.850000,0.386
6,0,100,-29.450000,0.407
7,0,100,-29.550000,0.431
8,0,100,-30.000000,0.389
9,0,100,-29.950000,0.429
10,1,47,-3.820000,0.209
11,0,100,-29.820000,0.380
12,0,100,-29.980000,0.427
13,1,98,-19.216667,0.424
14,0,100,-29.950000,0.397
15,0,100,-29.800000,0.400
16,0,100,-29.713333,0.399
17,0,100,-30.000000,0.419
18,0,100,-29.530000,0.462
19,0,100,-29.740000,0.387
20,1,37,-0.960000,0.165
21,0,100,-29.890000,0.382
22,0,100,-30.000000,0.406
23,0,100,-29.820000,0.394
24,0,100,-29.800000,0.428
25,0,100,-29.870000,0.407
26,0,100,-29.740000,0.477
27,0,100,-29.733333,0.403
28,0,100,-29.670000,0.399
29,0,100,-29.990000,0.389
30,0,100,-29.870000,0.391
31,0,100,-29.973333,0.389
32,0,100,-30.000000,0.391
33,0,100,-29.740000,0.453
34,0,100,-29.770000,0.436
35,0,100,-29.583333,0.397
36,0,100,-29.360000,0.385
37,1,38,-1.183333,0.183
38,0,100,-29.750000,0.399
39,0,100,-29.960000,0.426
40,0,100,-29.950000,0.399
41,0,100,-29.720000,0.402
42,0,100,-29.670000,0.413
43,0,100,-30.000000,0.435
44,0,100,-29.990000,0.410
45,0,100,-29.806667,0.411
46,0,100,-29.830000,0.395
47,0,100,-30.000000,0.406
48,0,100,-29.553333,0.424
49,0,100,-29.730000,0.410
50,0,100,-29.910000,0.426
51,0,100,-29.940000,0.416
52,0,100,-29.800000,0.415
53,0,100,-29.970000,0.406
54,0,100,-29.900000,0.382
55,0,100,-29.613333,0.398
56,0,100,-29.970000,0.416
57,0,100,-29.766667,0.404
58,0,100,-29.940000,0.426
59,0,100,-29.970000,0.422
60,0,100,-29.910000,0.384
61,0,100,-29.790000,0.383
62,0,100,-29.920000,0.381
63,0,100,-29.920000,0.410
64,0,100,-29.820000,0.427
65,0,100,-29.866667,0.418
66,0,100,-29.820000,0.433
67,0,100,-29.570000,0.459
68,0,100,-29.890000,0.408
69,0,100,-29.566667,0.417
70,0,100,-30.000000,0.405
71,0,100,-29.720000,0.395
72,0,100,-29.870000,0.368
73,0,100,-29.940000,0.415
74,0,100,-29.720000,0.408
75,0,100,-29.990000,0.391
76,0,100,-29.256667,0.434
77,0,100,-29.410000,0.426
78,0,100,-29.720000,0.419
79,0,100,-29.730000,0.405
80,0,100,-29.820000,0.422
81,0,100,-29.686667,0.392
82,0,100,-29.880000,0.388
83,0,100,-29.570000,0.440
84,0,100,-29.920000,0.393
85,0,100,-29.380000,0.418
86,0,100,-29.763333,0.382
87,0,100,-29.920000,0.421
88,0,100,-30.000000,0.426
89,0,100,-29.936667,0.438
90,0,100,-29.913333,0.397
91,0,100,-29.870000,0.439
92,0,100,-29.850000,0.429
93,0,100,-29.940000,0.417
94,0,100,-29.860000,0.413
95,0,100,-29.800000,0.401
96,0,100,-30.000000,0.398
97,0,100,-29.910000,0.404
98,1,18,4.650000,0.079
99,0,100,-29.840000,0.397
100,0,100,-30.000000,0.407
