episode,success,steps,episode_reward,time_sec
1,0,100,-29.810000,0.426
2,0,100,-29.826667,0.403
3,0,100,-30.000000,0.366
4,0,100,-29.993333,0.394
5,0,100,-29.830000,0.407
6,0,100,-30.000000,0.511
7,0,100,-29.920000,0.418
8,0,100,-29.650000,0.453
9,0,100,-29.813333,0.408
10,0,100,-29.950000,0.409
11,0,100,-29.950000,0.392
12,0,100,-29.860000,0.397
13,0,100,-29.920000,0.415
14,0,100,-29.110000,0.414
15,0,100,-29.950000,0.402
16,0,100,-30.000000,0.413
17,0,100,-30.000000,0.399
18,0,100,-30.000000,0.380
19,0,100,-30.000000,0.403
20,0,100,-29.893333,0.381
21,0,100,-29.240000,0.417
22,1,18,4.730000,0.080
23,0,100,-29.880000,0.401
24,0,100,-29.920000,0.401
25,0,100,-29.990000,0.411
26,0,100,-30.000000,0.370
27,0,100,-30.000000,0.413
28,0,100,-30.000000,0.409
29,0,100,-29.820000,0.380
30,0,100,-29.940000,0.394
31,0,100,-29.946667,0.425
32,0,100,-29.980000,0.421
33,0,100,-29.340000,0.396
34,0,100,-29.500000,0.480
35,0,100,-29.970000,0.415
36,0,100,-29.900000,0.389
37,0,100,-29.880000,0.447
38,0,100,-29.950000,0.399
39,0,100,-29.990000,0.386
40,0,100,-29.753333,0.389
41,0,100,-30.000000,0.390
42,0,100,-29.570000,0.435
43,0,100,-29.990000,0.390
44,0,100,-30.000000,0.399
45,0,100,-29.960000,0.448
46,0,100,-29.990000,0.406
47,0,100,-29.630000,0.428
48,0,100,-29.680000,0.449
49,0,100,-29.886667,0.399
50,0,100,-29.960000,0.400
51,0,100,-29.640000,0.414
52,0,100,-29.690000,0.381
53,0,100,-30.000000,0.415
54,0,100,-29.850000,0.449
55,0,100,-29.376667,0.426
56,0,100,-29.513333,0.375
57,0,100,-29.996667,0.379
58,0,100,-29.990000,0.455
59,0,100,-29.750000,0.393
60,0,100,-30.000000,0.394
61,0,100,-28.920000,0.495
62,0,100,-30.000000,0.443
63,1,91,-16.750000,0.402
64,0,100,-29.970000,0.436
65,0,100,-29.890000,0.390
66,0,100,-30.000000,0.395
67,0,100,-29.993333,0.611
68,0,100,-30.000000,1.163
69,0,100,-30.000000,0.432
70,0,100,-29.570000,0.379
71,0,100,-29.780000,0.382
72,0,100,-29.696667,0.404
73,1,71,-10.923333,0.303
74,0,100,-29.920000,0.402
75,0,100,-29.813333,0.462
76,0,100,-29.950000,0.404
77,0,100,-29.930000,0.383
78,0,100,-29.893333,0.387
79,0,100,-29.600000,0.429
80,0,100,-30.000000,0.379
81,0,100,-28.920000,0.432
82,1,93,-17.340000,0.407
83,0,100,-29.736667,0.430
84,0,100,-29.680000,0.406
85,0,100,-29.876667,0.389
86,1,85,-14.680000,0.396
87,0,100,-29.790000,0.455
88,0,100,-29.550000,0.409
89,0,100,-29.850000,0.432
90,0,100,-29.880000,0.400
91,1,60,-7.850000,0.253
92,0,100,-29.830000,0.381
93,0,100,-29.973333,0.392
94,0,100,-29.970000,0.454
95,0,100,-29.880000,0.434
96,0,100,-29.743333,0.423
97,0,100,-29.880000,0.469
98,0,100,-29.890000,0.400
99,0,100,-29.920000,0.380
100,0,100,-29.880000,0.396
