episode,success,steps,episode_reward,time_sec
1,1,11,7.900000,0.035
2,1,15,7.020000,0.041
3,1,14,7.335000,0.040
4,1,18,6.465000,0.052
5,1,25,5.125000,0.074
6,1,14,7.280000,0.042
7,1,10,8.060000,0.032
8,1,13,7.475000,0.038
9,1,16,6.860000,0.047
10,1,8,8.440000,0.026
11,1,9,8.270000,0.029
12,1,28,4.455000,0.079
13,1,9,8.250000,0.027
14,1,22,5.665000,0.061
15,1,23,5.465000,0.063
16,1,13,7.445000,0.039
17,1,10,8.135000,0.029
18,1,10,8.095000,0.031
19,1,20,6.115000,0.058
20,1,13,7.415000,0.039
21,1,14,7.300000,0.043
22,1,18,6.505000,0.054
23,1,15,7.050000,0.044
24,1,14,7.270000,0.041
25,1,15,7.020000,0.043
26,1,8,8.470000,0.025
27,1,10,8.005000,0.027
28,1,12,7.695000,0.037
29,1,20,6.070000,0.057
30,1,15,7.065000,0.045
31,1,13,7.470000,0.036
32,1,24,5.340000,0.068
33,1,22,5.685000,0.064
34,1,19,6.245000,0.053
35,1,14,7.235000,0.041
36,1,8,8.450000,0.026
37,1,3,9.450000,0.010
38,1,26,4.835000,0.071
39,1,6,8.870000,0.020
40,1,12,7.710000,0.034
41,1,20,6.075000,0.060
42,1,14,7.205000,0.041
43,1,15,7.065000,0.043
44,1,9,8.270000,0.029
45,1,3,9.425000,0.011
46,1,5,9.045000,0.015
47,1,7,8.620000,0.020
48,1,34,3.280000,0.097
49,1,6,8.875000,0.019
50,1,9,8.260000,0.026
51,1,12,7.675000,0.036
52,1,15,7.065000,0.045
53,1,7,8.680000,0.022
54,1,19,6.330000,0.057
55,1,21,5.830000,0.059
56,1,12,7.690000,0.035
57,1,5,9.035000,0.016
58,1,11,7.820000,0.033
59,1,6,8.810000,0.018
60,1,4,9.240000,0.013
61,1,24,5.285000,0.068
62,1,21,5.835000,0.058
63,1,17,6.620000,0.047
64,1,17,6.830000,0.052
65,1,7,8.650000,0.022
66,1,18,6.570000,0.050
67,1,6,8.865000,0.018
68,1,10,8.120000,0.032
69,1,20,6.115000,0.057
70,1,16,6.965000,0.048
71,1,37,2.685000,0.101
72,1,5,9.070000,0.017
73,1,10,8.100000,0.030
74,1,16,6.885000,0.048
75,1,8,8.425000,0.025
76,1,21,5.865000,0.060
77,1,8,8.435000,0.024
78,1,18,6.430000,0.052
79,1,17,6.655000,0.051
80,1,23,5.480000,0.063
81,1,13,7.430000,0.038
82,1,13,7.490000,0.037
83,1,10,8.010000,0.030
84,1,11,7.845000,0.034
85,1,19,6.235000,0.055
86,1,18,6.415000,0.053
87,1,19,6.205000,0.054
88,1,16,6.830000,0.045
89,1,5,9.035000,0.017
90,1,13,7.450000,0.040
91,1,24,5.250000,0.066
92,1,19,6.475000,0.061
93,1,5,9.005000,0.017
94,1,28,4.455000,0.075
95,1,9,8.235000,0.027
96,1,11,7.875000,0.035
97,1,24,5.220000,0.065
98,1,23,5.585000,0.070
99,1,9,8.265000,0.027
100,1,45,1.120000,0.125
