episode,success,steps,episode_reward,time_sec
1,0,100,-20.000000,0.270
2,0,100,-20.000000,0.262
3,0,100,-20.000000,0.266
4,0,100,-19.700000,0.256
5,0,100,-20.000000,0.250
6,0,100,-19.910000,0.264
7,0,100,-19.990000,0.277
8,0,100,-19.920000,0.287
9,0,100,-19.990000,0.315
10,0,100,-20.000000,0.295
11,0,100,-19.785000,0.284
12,0,100,-19.970000,0.268
13,0,100,-19.970000,0.261
14,0,100,-20.000000,0.258
15,0,100,-20.000000,0.272
16,0,100,-19.550000,0.279
17,0,100,-18.930000,0.288
18,0,100,-19.920000,0.281
19,0,100,-20.000000,0.252
20,0,100,-20.000000,0.248
21,0,100,-19.935000,0.290
22,0,100,-20.000000,0.255
23,0,100,-19.675000,0.272
24,0,100,-20.000000,0.273
25,0,100,-20.000000,0.291
26,0,100,-19.970000,0.284
27,0,100,-20.000000,0.259
28,0,100,-20.000000,0.279
29,0,100,-19.940000,0.268
30,0,100,-19.900000,0.260
31,0,100,-20.000000,0.280
32,0,100,-20.000000,0.270
33,0,100,-20.000000,0.280
34,0,100,-19.970000,0.310
35,0,100,-19.990000,0.278
36,0,100,-19.965000,0.252
37,1,37,3.400000,0.118
38,0,100,-20.000000,0.265
39,1,22,5.825000,0.072
40,0,100,-19.910000,0.264
41,0,100,-20.000000,0.274
42,0,100,-20.000000,0.271
43,1,54,-0.485000,0.175
44,0,100,-19.620000,0.295
45,0,100,-19.575000,0.299
46,0,100,-19.720000,0.260
47,0,100,-20.000000,0.260
48,0,100,-20.000000,0.276
49,0,100,-19.260000,0.285
50,0,100,-19.970000,0.285
51,0,100,-19.825000,0.263
52,0,100,-19.465000,0.269
53,0,100,-19.845000,0.276
54,0,100,-19.990000,0.275
55,0,100,-19.930000,0.248
56,0,100,-19.950000,0.264
57,0,100,-19.790000,0.276
58,0,100,-19.940000,0.277
59,0,100,-19.530000,0.316
60,0,100,-19.730000,0.273
61,0,100,-19.960000,0.272
62,0,100,-19.890000,0.270
63,0,100,-20.000000,0.273
64,0,100,-19.520000,0.300
65,0,100,-19.880000,0.274
66,0,100,-20.000000,0.260
67,0,100,-19.560000,0.291
68,0,100,-19.540000,0.309
69,0,100,-19.870000,0.272
70,0,100,-20.000000,0.299
71,0,100,-20.000000,0.250
72,0,100,-19.935000,0.273
73,0,100,-19.530000,0.298
74,0,100,-19.860000,0.292
75,0,100,-19.990000,0.260
76,0,100,-20.000000,0.266
77,0,100,-20.000000,0.257
78,0,100,-20.000000,0.262
79,0,100,-19.980000,0.285
80,0,100,-20.000000,0.259
81,0,100,-19.920000,0.301
82,0,100,-19.660000,0.259
83,0,100,-19.930000,0.269
84,0,100,-19.970000,0.277
85,0,100,-19.910000,0.274
86,0,100,-20.000000,0.250
87,0,100,-20.000000,0.262
88,0,100,-20.000000,0.268
89,0,100,-19.870000,0.300
90,0,100,-20.000000,0.280
91,0,100,-20.000000,0.275
92,0,100,-19.270000,0.300
93,0,100,-20.000000,0.277
94,0,100,-20.000000,0.260
95,0,100,-20.000000,0.251
96,0,100,-19.770000,0.288
97,0,100,-20.000000,0.275
98,0,100,-19.890000,0.262
99,0,100,-19.780000,0.277
100,0,100,-20.000000,0.244
