episode,success,steps,episode_reward,time_sec
1,0,100,-19.885000,0.255
2,0,100,-20.000000,0.243
3,0,100,-20.000000,0.256
4,0,100,-19.080000,0.255
5,0,100,-20.000000,0.268
6,0,100,-20.000000,0.243
7,0,100,-20.000000,0.256
8,0,100,-19.305000,0.260
9,0,100,-20.000000,0.256
10,0,100,-19.770000,0.299
11,0,100,-19.920000,0.256
12,0,100,-20.000000,0.237
13,0,100,-19.565000,0.260
14,0,100,-20.000000,0.238
15,0,100,-19.435000,0.256
16,0,100,-20.000000,0.264
17,0,100,-20.000000,0.238
18,0,100,-19.920000,0.255
19,0,100,-20.000000,0.234
20,0,100,-19.920000,0.270
21,0,100,-20.000000,0.251
22,0,100,-19.035000,0.260
23,0,100,-20.000000,0.235
24,0,100,-20.000000,0.236
25,0,100,-20.000000,0.268
26,0,100,-20.000000,0.238
27,0,100,-19.510000,0.256
28,0,100,-20.000000,0.236
29,0,100,-20.000000,0.238
30,0,100,-20.000000,0.237
31,0,100,-19.750000,0.247
32,0,100,-20.000000,0.267
33,0,100,-20.000000,0.268
34,0,100,-20.000000,0.251
35,0,100,-20.000000,0.237
36,0,100,-19.395000,0.250
37,0,100,-20.000000,0.238
38,0,100,-19.720000,0.255
39,0,100,-20.000000,0.256
40,0,100,-20.000000,0.481
41,0,100,-19.900000,0.325
42,0,100,-19.115000,0.257
43,0,100,-20.000000,0.236
44,0,100,-20.000000,0.243
45,0,100,-19.720000,0.258
46,0,100,-20.000000,0.236
47,0,100,-20.000000,0.289
48,0,100,-20.000000,0.243
49,0,100,-20.000000,0.241
50,0,100,-19.940000,0.303
51,0,100,-19.970000,0.375
52,0,100,-20.000000,0.241
53,0,100,-20.000000,0.247
54,0,100,-19.980000,0.255
55,0,100,-20.000000,0.239
56,0,100,-20.000000,0.238
57,0,100,-20.000000,0.243
58,0,100,-20.000000,0.241
59,0,100,-20.000000,0.238
60,0,100,-19.250000,0.258
61,0,100,-20.000000,0.236
62,0,100,-20.000000,0.261
63,0,100,-20.000000,0.252
64,0,100,-20.000000,0.238
65,0,100,-19.740000,0.286
66,0,100,-20.000000,0.246
67,0,100,-20.000000,0.239
68,0,100,-19.970000,0.246
69,0,100,-20.000000,0.260
70,0,100,-20.000000,0.271
71,0,100,-20.000000,0.239
72,0,100,-20.000000,0.236
73,0,100,-19.530000,0.258
74,0,100,-20.000000,0.253
75,0,100,-18.440000,0.258
76,0,100,-20.000000,0.237
77,0,100,-20.000000,0.236
78,0,100,-20.000000,0.245
79,0,100,-19.980000,0.279
80,0,100,-20.000000,0.256
81,0,100,-20.000000,0.237
82,0,100,-20.000000,0.258
83,0,100,-20.000000,0.236
84,0,100,-20.000000,0.237
85,0,100,-20.000000,0.252
86,0,100,-20.000000,0.236
87,0,100,-20.000000,0.249
88,0,100,-20.000000,0.236
89,0,100,-20.000000,0.238
90,0,100,-20.000000,0.236
91,0,100,-20.000000,0.240
92,0,100,-20.000000,0.238
93,0,100,-20.000000,0.266
94,0,100,-20.000000,0.246
95,0,100,-20.000000,0.239
96,0,100,-20.000000,0.235
97,0,100,-20.000000,0.238
98,0,100,-20.000000,0.240
99,0,100,-20.000000,0.238
100,0,100,-19.960000,0.243
