episode,success,steps,episode_reward,time_sec
1,0,100,-19.025000,0.265
2,0,100,-20.000000,0.269
3,0,100,-19.970000,0.284
4,0,100,-19.000000,0.261
5,0,100,-20.000000,0.255
6,0,100,-20.000000,0.260
7,0,100,-19.990000,0.261
8,0,100,-20.000000,0.240
9,0,100,-19.990000,0.262
10,0,100,-20.000000,0.241
11,0,100,-19.985000,0.312
12,0,100,-19.990000,0.272
13,0,100,-20.000000,0.293
14,0,100,-20.000000,0.252
15,0,100,-20.000000,0.253
16,0,100,-19.160000,0.298
17,0,100,-19.620000,0.264
18,0,100,-19.980000,0.264
19,0,100,-20.000000,0.241
20,0,100,-20.000000,0.261
21,0,100,-19.000000,0.261
22,0,100,-20.000000,0.251
23,0,100,-20.000000,0.288
24,0,100,-19.340000,0.255
25,0,100,-20.000000,0.260
26,0,100,-18.325000,0.292
27,0,100,-20.000000,0.256
28,0,100,-19.440000,0.251
29,0,100,-20.000000,0.241
30,0,100,-19.940000,0.256
31,0,100,-20.000000,0.244
32,0,100,-20.000000,0.242
33,0,100,-20.000000,0.252
34,0,100,-20.000000,0.253
35,0,100,-19.990000,0.263
36,0,100,-19.985000,0.294
37,0,100,-19.990000,0.295
38,0,100,-20.000000,0.240
39,0,100,-20.000000,0.264
40,0,100,-20.000000,0.263
41,0,100,-20.000000,0.243
42,0,100,-20.000000,0.256
43,0,100,-20.000000,0.259
44,0,100,-19.980000,0.294
45,0,100,-19.965000,0.298
46,0,100,-19.960000,0.310
47,0,100,-19.990000,0.280
48,0,100,-20.000000,0.245
49,0,100,-19.135000,0.263
50,0,100,-19.980000,0.264
51,0,100,-19.995000,0.263
52,0,100,-19.865000,0.262
53,0,100,-20.000000,0.263
54,0,100,-20.000000,0.238
55,0,100,-20.000000,0.264
56,0,100,-19.605000,0.278
57,0,100,-19.750000,0.296
58,0,100,-18.655000,0.279
59,0,100,-19.460000,0.287
60,0,100,-19.950000,0.292
61,0,100,-20.000000,0.239
62,0,100,-20.000000,0.256
63,0,100,-20.000000,0.252
64,0,100,-19.990000,0.285
65,0,100,-20.000000,0.279
66,0,100,-19.720000,0.260
67,0,100,-20.000000,0.264
68,0,100,-20.000000,0.274
69,0,100,-19.005000,0.284
70,0,100,-20.000000,0.264
71,0,100,-20.000000,0.246
72,0,100,-19.860000,0.302
73,0,100,-20.000000,0.265
74,0,100,-20.000000,0.245
75,0,100,-19.910000,0.273
76,0,100,-20.000000,0.251
77,0,100,-20.000000,0.263
78,0,100,-20.000000,0.248
79,0,100,-20.000000,0.262
80,0,100,-20.000000,0.251
81,0,100,-19.990000,0.285
82,0,100,-20.000000,0.253
83,0,100,-20.000000,0.254
84,0,100,-19.535000,0.278
85,0,100,-20.000000,0.257
86,0,100,-20.000000,0.251
87,0,100,-20.000000,0.253
88,0,100,-20.000000,0.250
89,0,100,-20.000000,0.273
90,0,100,-20.000000,0.263
91,0,100,-20.000000,0.245
92,0,100,-19.000000,0.261
93,0,100,-19.880000,0.288
94,0,100,-20.000000,0.254
95,0,100,-19.680000,0.247
96,0,100,-20.000000,0.261
97,0,100,-18.840000,0.266
98,0,100,-19.970000,0.264
99,0,100,-20.000000,0.273
100,0,100,-18.940000,0.265
