episode,success,steps,episode_reward,time_sec
1,0,100,-20.000000,0.267
2,0,100,-19.900000,0.263
3,0,100,-19.575000,0.268
4,0,100,-19.660000,0.291
5,0,100,-20.000000,0.259
6,0,100,-19.920000,0.267
7,0,100,-19.850000,0.270
8,0,100,-20.000000,0.268
9,0,100,-19.940000,0.276
10,0,100,-19.970000,0.251
11,0,100,-19.745000,0.259
12,0,100,-19.990000,0.247
13,0,100,-19.800000,0.254
14,0,100,-20.000000,0.367
15,0,100,-20.000000,0.301
16,0,100,-19.970000,0.268
17,0,100,-19.645000,0.291
18,0,100,-20.000000,0.267
19,0,100,-19.965000,0.260
20,0,100,-19.550000,0.276
21,0,100,-19.690000,0.288
22,0,100,-19.960000,0.263
23,0,100,-19.970000,0.262
24,0,100,-19.790000,0.252
25,0,100,-20.000000,0.264
26,0,100,-19.790000,0.257
27,0,100,-19.720000,0.254
28,0,100,-19.845000,0.299
29,0,100,-19.840000,0.277
30,0,100,-19.540000,0.265
31,0,100,-19.980000,0.284
32,0,100,-19.910000,0.262
33,0,100,-19.840000,0.264
34,0,100,-19.560000,0.275
35,0,100,-20.000000,0.266
36,0,100,-19.930000,0.301
37,0,100,-19.595000,0.288
38,0,100,-19.970000,0.257
39,0,100,-19.960000,0.269
40,0,100,-19.840000,0.265
41,0,100,-19.555000,0.259
42,0,100,-19.970000,0.252
43,0,100,-19.670000,0.264
44,0,100,-19.960000,0.254
45,0,100,-19.825000,0.278
46,0,100,-19.980000,0.260
47,0,100,-19.990000,0.258
48,0,100,-19.790000,0.267
49,0,100,-19.920000,0.263
50,0,100,-19.820000,0.252
51,1,60,-1.385000,0.174
52,0,100,-19.550000,0.256
53,0,100,-19.800000,0.285
54,0,100,-19.500000,0.269
55,0,100,-19.795000,0.252
56,0,100,-19.640000,0.256
57,0,100,-19.470000,0.249
58,0,100,-19.900000,0.281
59,0,100,-20.000000,0.269
60,0,100,-20.000000,0.263
61,0,100,-19.990000,0.247
62,0,100,-19.880000,0.265
63,1,64,-2.660000,0.180
64,0,100,-20.000000,0.255
65,0,100,-20.000000,0.243
66,0,100,-19.990000,0.254
67,0,100,-19.980000,0.281
68,0,100,-19.720000,0.279
69,0,100,-19.870000,0.271
70,0,100,-20.000000,0.239
71,0,100,-19.740000,0.291
72,0,100,-20.000000,0.272
73,0,100,-19.810000,0.268
74,0,100,-19.870000,0.249
75,0,100,-19.840000,0.265
76,0,100,-19.860000,0.262
77,0,100,-19.810000,0.250
78,0,100,-19.980000,0.243
79,0,100,-19.840000,0.282
80,0,100,-19.810000,0.251
81,0,100,-19.820000,0.298
82,0,100,-19.835000,0.267
83,0,100,-19.950000,0.246
84,0,100,-19.990000,0.253
85,0,100,-19.980000,0.256
86,0,100,-19.790000,0.275
87,0,100,-19.860000,0.257
88,1,31,3.985000,0.094
89,0,100,-19.550000,0.271
90,0,100,-19.595000,0.261
91,0,100,-19.520000,0.285
92,0,100,-19.805000,0.260
93,0,100,-19.935000,0.258
94,0,100,-19.910000,0.269
95,0,100,-19.880000,0.287
96,0,100,-20.000000,0.252
97,0,100,-19.980000,0.267
98,0,100,-19.970000,0.282
99,0,100,-19.900000,0.264
100,0,100,-19.910000,0.276
