episode,success,steps,episode_reward,time_sec
1,1,26,4.965000,0.072
2,1,31,3.820000,0.083
3,1,88,-7.570000,0.246
4,1,60,-1.970000,0.160
5,1,34,3.220000,0.094
6,1,71,-4.160000,0.184
7,0,100,-20.000000,0.259
8,1,28,4.455000,0.076
9,0,100,-19.990000,0.262
10,1,47,0.620000,0.129
11,1,66,-3.160000,0.172
12,1,36,2.860000,0.097
13,0,100,-19.960000,0.258
14,1,40,2.030000,0.102
15,1,58,-1.570000,0.144
16,0,100,-20.000000,0.262
17,1,35,3.090000,0.094
18,1,52,-0.380000,0.136
19,1,46,0.830000,0.120
20,1,66,-3.150000,0.179
21,1,74,-4.730000,0.194
22,0,100,-20.000000,0.268
23,1,76,-5.180000,0.204
24,1,68,-3.580000,0.178
25,1,41,1.875000,0.112
26,1,69,-3.745000,0.186
27,0,100,-19.950000,0.257
28,1,43,1.420000,0.115
29,1,34,3.230000,0.091
30,1,30,4.115000,0.083
31,1,33,3.545000,0.084
32,1,85,-6.980000,0.223
33,1,54,-0.765000,0.143
34,0,100,-19.950000,0.258
35,1,37,2.650000,0.103
36,1,86,-7.140000,0.234
37,1,9,8.230000,0.027
38,1,39,2.220000,0.103
39,1,11,7.860000,0.033
40,1,37,2.620000,0.098
41,0,100,-20.000000,0.265
42,1,94,-8.780000,0.251
43,1,51,-0.170000,0.131
44,0,100,-19.970000,0.261
45,1,31,3.855000,0.088
46,1,14,7.305000,0.038
47,0,100,-19.395000,0.258
48,1,51,-0.170000,0.138
49,1,9,8.275000,0.026
50,1,24,5.230000,0.065
51,1,35,3.285000,0.093
52,0,100,-19.970000,0.262
53,1,28,4.455000,0.077
54,0,100,-20.000000,0.263
55,1,46,0.890000,0.123
56,1,69,-3.765000,0.181
57,1,26,4.820000,0.072
58,1,65,-2.980000,0.172
59,1,90,-7.965000,0.232
60,1,78,-5.565000,0.255
61,1,42,1.640000,0.116
62,1,31,3.945000,0.080
63,1,58,-1.580000,0.151
64,1,83,-6.560000,0.217
65,1,92,-8.325000,0.240
66,1,40,2.020000,0.104
67,1,16,6.955000,0.046
68,1,58,-1.550000,0.162
69,1,37,2.630000,0.100
70,1,53,-0.570000,0.138
71,1,38,2.430000,0.100
72,1,6,8.830000,0.020
73,0,100,-19.460000,0.259
74,1,53,-0.550000,0.140
75,0,100,-19.960000,0.259
76,1,82,-6.370000,0.219
77,0,100,-19.990000,0.260
78,1,75,-4.970000,0.194
79,1,52,-0.370000,0.133
80,1,72,-4.345000,0.190
81,0,100,-19.540000,0.259
82,0,100,-19.980000,0.259
83,1,52,-0.370000,0.138
84,1,45,1.055000,0.121
85,1,57,-1.365000,0.149
86,1,39,2.230000,0.103
87,1,40,2.035000,0.107
88,0,100,-20.000000,0.270
89,1,2,9.620000,0.008
90,1,31,3.820000,0.085
91,0,100,-19.110000,0.257
92,1,12,7.660000,0.034
93,1,61,-2.180000,0.163
94,1,31,3.855000,0.078
95,1,13,7.420000,0.037
96,1,39,2.240000,0.102
97,1,3,9.420000,0.010
98,1,51,-0.180000,0.135
99,0,100,-20.000000,0.263
100,1,78,-5.535000,0.204
