episode,success,steps,episode_reward,time_sec
1,0,100,-19.980000,0.269
2,0,100,-20.000000,0.279
3,0,100,-19.990000,0.321
4,0,100,-20.000000,0.258
5,0,100,-20.000000,0.267
6,0,100,-20.000000,0.266
7,0,100,-19.895000,0.273
8,0,100,-19.930000,0.288
9,1,52,0.010000,0.149
10,0,100,-19.885000,0.277
11,0,100,-19.990000,0.283
12,0,100,-20.000000,0.286
13,0,100,-20.000000,0.259
14,0,100,-20.000000,0.289
15,0,100,-20.000000,0.278
16,0,100,-20.000000,0.283
17,0,100,-19.705000,0.257
18,0,100,-20.000000,0.276
19,0,100,-19.940000,0.296
20,0,100,-19.900000,0.311
21,0,100,-19.940000,0.254
22,0,100,-20.000000,0.270
23,0,100,-20.000000,0.269
24,0,100,-20.000000,0.248
25,0,100,-20.000000,0.261
26,0,100,-19.990000,0.251
27,0,100,-19.970000,0.270
28,0,100,-19.830000,0.328
29,0,100,-19.870000,0.275
30,0,100,-19.970000,0.251
31,0,100,-20.000000,0.267
32,0,100,-20.000000,0.248
33,0,100,-19.980000,0.324
34,0,100,-19.880000,0.260
35,0,100,-20.000000,0.291
36,0,100,-19.760000,0.272
37,0,100,-19.750000,0.268
38,0,100,-19.830000,0.322
39,0,100,-19.805000,0.328
40,0,100,-20.000000,0.248
41,0,100,-19.605000,0.332
42,0,100,-19.995000,0.281
43,0,100,-20.000000,0.248
44,0,100,-20.000000,0.312
45,0,100,-19.980000,0.276
46,0,100,-20.000000,0.314
47,0,100,-19.940000,0.330
48,0,100,-20.000000,0.291
49,0,100,-19.770000,0.266
50,0,100,-19.760000,0.332
51,0,100,-19.860000,0.271
52,0,100,-20.000000,0.257
53,0,100,-19.680000,0.264
54,0,100,-19.410000,0.280
55,0,100,-20.000000,0.291
56,0,100,-20.000000,0.288
57,0,100,-19.690000,0.272
58,0,100,-19.880000,0.261
59,0,100,-20.000000,0.286
60,0,100,-20.000000,0.298
61,0,100,-20.000000,0.322
62,0,100,-20.000000,0.257
63,0,100,-20.000000,0.254
64,0,100,-19.855000,0.252
65,0,100,-19.010000,0.331
66,0,100,-20.000000,0.259
67,0,100,-19.865000,0.280
68,0,100,-19.035000,0.333
69,0,100,-19.010000,0.334
70,0,100,-19.290000,0.275
71,0,100,-19.920000,0.271
72,0,100,-19.935000,0.315
73,0,100,-20.000000,0.271
74,0,100,-20.000000,0.276
75,0,100,-18.960000,0.278
76,0,100,-19.730000,0.268
77,0,100,-20.000000,0.292
78,0,100,-20.000000,0.289
79,0,100,-19.815000,0.296
80,0,100,-20.000000,0.329
81,0,100,-19.970000,0.256
82,0,100,-19.970000,0.309
83,0,100,-20.000000,0.281
84,0,100,-19.250000,0.274
85,0,100,-20.000000,0.276
86,0,100,-19.700000,0.274
87,0,100,-19.830000,0.299
88,0,100,-19.990000,0.269
89,0,100,-20.000000,0.277
90,0,100,-20.000000,0.277
91,0,100,-20.000000,0.254
92,0,100,-19.710000,0.282
93,0,100,-20.000000,0.293
94,0,100,-19.000000,0.280
95,0,100,-20.000000,0.252
96,0,100,-20.000000,0.276
97,0,100,-20.000000,0.253
98,0,100,-19.900000,0.305
99,0,100,-20.000000,0.321
100,0,100,-20.000000,0.260
