episode,success,steps,episode_reward,time_sec
1,0,100,-19.920000,0.311
2,0,100,-19.620000,0.258
3,0,100,-20.000000,0.272
4,0,100,-18.725000,0.278
5,0,100,-20.000000,0.264
6,0,100,-19.980000,0.256
7,0,100,-19.280000,0.280
8,0,100,-9.775000,0.259
9,0,100,-19.990000,0.261
10,0,100,-19.840000,0.256
11,0,100,-19.770000,0.256
12,0,100,-20.000000,0.271
13,0,100,-19.930000,0.268
14,0,100,-20.000000,0.262
15,0,100,-19.300000,0.280
16,0,100,-20.000000,0.301
17,0,100,-19.790000,1.150
18,0,100,-20.000000,0.316
19,1,89,3.765000,0.274
20,0,100,-19.000000,0.285
21,0,100,-18.535000,0.284
22,0,100,-19.055000,0.278
23,0,100,-20.000000,0.258
24,0,100,-18.280000,0.274
25,0,100,-19.205000,0.278
26,0,100,-19.380000,0.286
27,0,100,-18.370000,0.275
28,0,100,-19.935000,0.269
29,0,100,-20.000000,0.258
30,0,100,-9.960000,0.262
31,0,100,-18.325000,0.294
32,0,100,-20.000000,0.236
33,0,100,-19.250000,0.258
34,0,100,-19.105000,0.316
35,0,100,-20.000000,0.256
36,0,100,-19.980000,0.275
37,0,100,-19.310000,0.317
38,0,100,-19.860000,0.248
39,0,100,-19.135000,0.349
40,0,100,-19.325000,0.273
41,0,100,-9.820000,0.259
42,0,100,-18.415000,0.304
43,0,100,-19.830000,0.310
44,0,100,-20.000000,0.239
45,0,100,-19.965000,0.333
46,0,100,-20.000000,0.261
47,0,100,-19.500000,0.279
48,0,100,-18.750000,0.289
49,0,100,-20.000000,0.297
50,0,100,-19.090000,0.269
51,0,100,-19.910000,0.273
52,0,100,-19.885000,0.239
53,0,100,-19.960000,0.435
54,0,100,-19.990000,0.335
55,0,100,-18.950000,0.275
56,0,100,-19.990000,0.263
57,0,100,-18.410000,0.274
58,0,100,-19.740000,0.298
59,0,100,-20.000000,0.249
60,0,100,-19.810000,0.290
61,0,100,-18.555000,0.341
62,0,100,-19.990000,0.299
63,0,100,-9.330000,0.309
64,0,100,-19.660000,0.305
65,0,100,-19.695000,0.272
66,0,100,-19.830000,0.263
67,0,100,-19.175000,0.312
68,0,100,-20.000000,0.292
69,0,100,-9.725000,0.266
70,0,100,-19.885000,0.271
71,0,100,-19.700000,0.269
72,0,100,-9.500000,0.285
73,0,100,-19.470000,0.298
74,0,100,-19.190000,0.280
75,0,100,-20.000000,0.266
76,0,100,-19.540000,0.280
77,0,100,-9.790000,0.299
78,0,100,-19.990000,0.261
79,0,100,-9.790000,0.267
80,0,100,-8.655000,0.273
81,0,100,-19.020000,0.307
82,0,100,-18.125000,0.294
83,0,100,-18.120000,0.276
84,0,100,-19.980000,0.308
85,0,100,-9.710000,0.266
86,0,100,-9.375000,0.281
87,0,100,-19.460000,0.279
88,0,100,-17.775000,0.279
89,0,100,-19.950000,0.262
90,0,100,-18.330000,0.258
91,0,100,-19.000000,0.281
92,0,100,-19.685000,0.282
93,0,100,-20.000000,0.271
94,0,100,-18.920000,0.277
95,0,100,-9.525000,0.301
96,0,100,-19.335000,0.278
97,0,100,-20.000000,0.261
98,0,100,-9.135000,0.291
99,0,100,-19.530000,0.276
100,0,100,-19.690000,0.283
