episode,success,steps,episode_reward,time_sec
1,1,29,14.270000,0.081
2,1,13,17.610000,0.041
3,1,33,13.565000,0.095
4,1,30,14.240000,0.084
5,1,23,15.500000,0.063
6,1,29,14.295000,0.081
7,0,100,-17.875000,0.284
8,1,8,18.490000,0.028
9,1,31,14.085000,0.093
10,1,12,17.705000,0.042
11,1,23,15.510000,0.069
12,1,14,17.255000,0.042
13,1,21,15.925000,0.062
14,1,40,12.620000,0.137
15,0,100,-18.255000,0.362
16,1,18,16.460000,0.053
17,1,26,14.900000,0.073
18,1,35,13.080000,0.099
19,0,100,-19.510000,0.339
20,1,22,15.720000,0.061
21,1,13,17.545000,0.039
22,1,28,14.670000,0.076
23,1,30,14.300000,0.089
24,1,17,16.655000,0.057
25,1,10,18.070000,0.031
26,1,11,17.865000,0.033
27,0,100,-19.680000,0.347
28,1,24,15.250000,0.066
29,1,24,15.380000,0.076
30,1,21,16.005000,0.064
31,1,21,15.905000,0.059
32,1,25,15.085000,0.069
33,1,49,10.745000,0.138
34,1,21,15.900000,0.059
35,1,15,17.070000,0.043
36,1,20,16.080000,0.057
37,0,100,-17.060000,0.288
38,1,7,18.655000,0.024
39,1,10,18.060000,0.033
40,0,100,-19.130000,0.327
41,1,7,18.680000,0.026
42,1,20,16.170000,0.057
43,1,26,14.960000,0.073
44,1,27,14.755000,0.076
45,1,15,17.065000,0.042
46,1,22,15.655000,0.061
47,1,20,16.040000,0.055
48,1,21,15.940000,0.060
49,1,19,16.275000,0.054
50,1,6,18.920000,0.022
51,1,34,13.370000,0.093
52,1,11,17.870000,0.034
53,1,32,13.710000,0.087
54,1,20,16.100000,0.057
55,1,24,15.255000,0.066
56,1,18,16.470000,0.051
57,1,19,16.285000,0.056
58,0,100,-18.670000,0.283
59,1,15,17.085000,0.046
60,1,16,16.900000,0.049
61,1,20,16.095000,0.058
62,0,100,-19.000000,0.285
63,0,100,-18.755000,0.347
64,1,77,5.520000,0.235
65,0,100,-19.005000,0.351
66,1,11,17.845000,0.033
67,1,31,13.905000,0.084
68,0,100,-18.005000,0.359
69,1,37,12.870000,0.107
70,0,100,-19.555000,0.280
71,1,38,13.200000,0.130
72,1,34,13.325000,0.092
73,0,100,-19.500000,0.288
74,1,19,16.290000,0.056
75,1,32,13.845000,0.089
76,1,24,15.345000,0.068
77,1,16,16.915000,0.052
78,1,93,3.150000,0.311
79,1,9,18.245000,0.029
80,0,100,-19.005000,0.338
81,1,25,15.085000,0.072
82,1,8,18.535000,0.028
83,1,19,16.310000,0.057
84,1,22,15.760000,0.061
85,1,18,16.455000,0.053
86,1,19,16.430000,0.057
87,1,23,15.440000,0.063
88,1,13,17.525000,0.041
89,1,20,16.290000,0.069
90,1,22,15.680000,0.064
91,1,15,17.150000,0.048
92,1,14,17.340000,0.043
93,1,33,13.465000,0.092
94,1,44,11.975000,0.154
95,1,70,7.265000,0.246
96,1,17,16.690000,0.049
97,1,33,13.470000,0.089
98,1,6,18.860000,0.021
99,1,23,15.510000,0.066
100,1,24,15.320000,0.067
