episode,success,steps,episode_reward,time_sec
1,0,100,-20.000000,0.281
2,0,100,-20.000000,0.286
3,0,100,-19.720000,0.262
4,0,100,-19.880000,0.263
5,0,100,-19.990000,0.282
6,0,100,-19.650000,0.285
7,0,100,-19.930000,0.264
8,0,100,-19.480000,0.268
9,0,100,-19.940000,0.287
10,0,100,-19.990000,0.264
11,0,100,-20.000000,0.281
12,0,100,-19.850000,0.304
13,0,100,-19.770000,0.279
14,0,100,-19.940000,0.273
15,0,100,-19.860000,0.274
16,0,100,-19.980000,0.301
17,0,100,-19.285000,0.295
18,0,100,-19.490000,0.304
19,0,100,-19.855000,0.296
20,0,100,-19.845000,0.259
21,0,100,-19.865000,0.264
22,0,100,-19.630000,0.313
23,0,100,-20.000000,0.281
24,0,100,-20.000000,0.265
25,0,100,-20.000000,0.275
26,0,100,-19.970000,0.283
27,0,100,-19.930000,0.266
28,0,100,-19.725000,0.308
29,0,100,-20.000000,0.274
30,0,100,-20.000000,0.282
31,0,100,-20.000000,0.280
32,0,100,-19.950000,0.276
33,0,100,-19.730000,0.303
34,0,100,-19.940000,0.276
35,0,100,-19.920000,0.273
36,0,100,-19.740000,0.315
37,0,100,-19.330000,0.326
38,0,100,-19.305000,0.299
39,0,100,-19.520000,0.313
40,0,100,-19.650000,0.319
41,0,100,-19.945000,0.266
42,0,100,-20.000000,0.250
43,0,100,-19.970000,0.277
44,0,100,-20.000000,0.256
45,0,100,-19.415000,0.316
46,0,100,-20.000000,0.275
47,0,100,-19.630000,0.314
48,0,100,-20.000000,0.287
49,0,100,-19.805000,0.276
50,0,100,-19.770000,0.278
51,0,100,-19.550000,0.313
52,0,100,-19.410000,0.267
53,0,100,-19.605000,0.310
54,0,100,-19.410000,0.328
55,0,100,-19.915000,0.281
56,0,100,-19.990000,0.284
57,0,100,-20.000000,0.281
58,0,100,-19.575000,0.263
59,0,100,-20.000000,0.276
60,0,100,-20.000000,0.263
61,0,100,-19.850000,0.319
62,0,100,-20.000000,0.301
63,0,100,-19.940000,0.291
64,0,100,-20.000000,0.279
65,0,100,-20.000000,0.256
66,0,100,-19.555000,0.301
67,0,100,-19.850000,0.291
68,1,4,9.255000,0.014
69,0,100,-20.000000,0.290
70,0,100,-19.940000,0.272
71,0,100,-19.780000,0.297
72,0,100,-20.000000,0.280
73,0,100,-19.950000,0.270
74,0,100,-19.680000,0.264
75,0,100,-19.900000,0.270
76,0,100,-19.920000,0.290
77,0,100,-20.000000,0.251
78,0,100,-19.980000,0.267
79,0,100,-19.600000,0.311
80,0,100,-20.000000,0.265
81,0,100,-19.825000,0.312
82,0,100,-19.670000,0.297
83,0,100,-19.940000,0.276
84,0,100,-19.520000,0.287
85,0,100,-20.000000,0.253
86,0,100,-19.820000,0.283
87,0,100,-19.690000,0.305
88,0,100,-19.985000,0.272
89,0,100,-19.960000,0.272
90,0,100,-20.000000,0.271
91,0,100,-19.770000,0.267
92,0,100,-19.770000,0.302
93,0,100,-19.570000,0.304
94,0,100,-19.740000,0.276
95,0,100,-19.890000,0.281
96,0,100,-19.990000,0.265
97,0,100,-20.000000,0.286
98,0,100,-20.000000,0.284
99,0,100,-19.885000,0.299
100,0,100,-19.890000,0.266
