episode,success,steps,episode_reward,time_sec
1,0,100,-20.000000,0.249
2,0,100,-20.000000,0.272
3,0,100,-20.000000,0.258
4,0,100,-19.280000,0.291
5,0,100,-20.000000,0.242
6,0,100,-20.000000,0.259
7,0,100,-20.000000,0.260
8,0,100,-19.810000,0.248
9,0,100,-20.000000,0.240
10,0,100,-19.770000,0.258
11,0,100,-19.115000,0.297
12,0,100,-19.940000,0.245
13,0,100,-19.880000,0.262
14,0,100,-19.940000,0.256
15,1,62,-2.115000,0.174
16,0,100,-20.000000,0.253
17,0,100,-19.760000,0.249
18,0,100,-19.870000,0.267
19,0,100,-19.480000,0.258
20,0,100,-19.990000,0.255
21,0,100,-19.965000,0.254
22,0,100,-20.000000,0.255
23,0,100,-19.690000,0.264
24,0,100,-20.000000,0.262
25,0,100,-20.000000,0.245
26,0,100,-19.860000,0.274
27,0,100,-19.950000,0.244
28,0,100,-20.000000,0.268
29,0,100,-19.915000,0.260
30,0,100,-19.820000,0.258
31,0,100,-20.000000,0.266
32,0,100,-20.000000,0.263
33,0,100,-19.700000,0.281
34,0,100,-19.780000,0.293
35,0,100,-19.700000,0.263
36,0,100,-19.985000,0.267
37,0,100,-19.380000,0.286
38,0,100,-20.000000,0.254
39,0,100,-19.960000,0.263
40,0,100,-19.670000,0.264
41,0,100,-20.000000,0.248
42,0,100,-20.000000,0.270
43,0,100,-19.340000,0.266
44,0,100,-19.850000,0.261
45,0,100,-19.945000,0.250
46,0,100,-19.740000,0.259
47,0,100,-20.000000,0.246
48,0,100,-20.000000,0.258
49,0,100,-19.660000,0.261
50,0,100,-19.705000,0.257
51,0,100,-19.985000,0.247
52,0,100,-19.025000,0.277
53,0,100,-19.625000,0.253
54,0,100,-20.000000,0.244
55,1,52,0.480000,0.144
56,0,100,-19.930000,0.244
57,0,100,-20.000000,0.268
58,0,100,-19.930000,0.248
59,0,100,-19.970000,0.254
60,0,100,-19.930000,0.265
61,0,100,-19.810000,0.284
62,0,100,-19.820000,0.271
63,0,100,-19.930000,0.256
64,0,100,-19.660000,0.280
65,0,100,-20.000000,0.249
66,0,100,-19.650000,0.291
67,0,100,-20.000000,0.264
68,0,100,-19.980000,0.265
69,0,100,-19.775000,0.293
70,0,100,-19.665000,0.260
71,0,100,-19.900000,0.249
72,0,100,-19.545000,0.304
73,0,100,-19.770000,0.248
74,0,100,-19.695000,0.254
75,0,100,-19.880000,0.248
76,0,100,-19.770000,0.262
77,0,100,-19.910000,0.251
78,0,100,-19.690000,0.272
79,0,100,-19.840000,0.267
80,0,100,-19.910000,0.260
81,0,100,-19.940000,0.250
82,0,100,-20.000000,0.255
83,0,100,-20.000000,0.253
84,0,100,-20.000000,0.257
85,0,100,-19.830000,0.264
86,0,100,-19.595000,0.278
87,0,100,-20.000000,0.274
88,0,100,-19.600000,0.265
89,0,100,-19.830000,0.254
90,0,100,-20.000000,0.266
91,0,100,-20.000000,0.251
92,0,100,-19.730000,0.264
93,0,100,-19.780000,0.254
94,0,100,-19.980000,0.254
95,0,100,-20.000000,0.267
96,1,63,-2.405000,0.167
97,0,100,-20.000000,0.268
98,0,100,-19.980000,0.263
99,0,100,-20.000000,0.262
100,0,100,-20.000000,0.243
