env_steps,scenario,seed,success_rate
1000000,color_shift,456,0.510000
3000000,color_shift,42,0.170000
3000000,color_shift,123,0.220000
3000000,color_shift,456,0.160000
10000000,color_shift,42,0.020000
10000000,color_shift,123,0.010000
10000000,color_shift,456,0.010000
0,semantic_color_swap,42,0.030000
0,semantic_color_swap,123,0.020000
0,semantic_color_swap,456,0.060000
1000,semantic_color_swap,42,0.010000
1000,semantic_color_swap,123,0.020000
1000,semantic_color_swap,456,0.010000
5000,semantic_color_swap,42,0.050000
5000,semantic_color_swap,123,0.050000
5000,semantic_color_swap,456,0.020000
10000,semantic_color_swap,42,0.010000
10000,semantic_color_swap,123,0.030000
10000,semantic_color_swap,456,0.020000
30000,semantic_color_swap,42,0.030000
30000,semantic_color_swap,123,0.010000
30000,semantic_color_swap,456,0.030000
100000,semantic_color_swap,42,0.050000
100000,semantic_color_swap,123,0.030000
100000,semantic_color_swap,456,0.060000
300000,semantic_color_swap,42,0.030000
300000,semantic_color_swap,123,0.030000
300000,semantic_color_swap,456,0.030000
1000000,semantic_color_swap,42,0.020000
1000000,semantic_color_swap,123,0.020000
1000000,semantic_color_swap,456,0.020000
3000000,semantic_color_swap,42,0.070000
3000000,semantic_color_swap,123,0.110000
3000000,semantic_color_swap,456,0.030000
10000000,semantic_color_swap,42,0.020000
10000000,semantic_color_swap,123,0.010000
10000000,semantic_color_swap,456,0.010000
0,shape_shift,42,0.030000
0,shape_shift,123,0.020000
0,shape_shift,456,0.030000
1000,shape_shift,42,0.030000
1000,shape_shift,123,0.040000
1000,shape_shift,456,0.010000
5000,shape_shift,42,0.020000
5000,shape_shift,123,0.040000
5000,shape_shift,456,0.010000
10000,shape_shift,42,0.030000
10000,shape_shift,123,0.010000
10000,shape_shift,456,0.030000
30000,shape_shift,42,0.020000
30000,shape_shift,123,0.010000
30000,shape_shift,456,0.010000
100000,shape_shift,42,0.000000
100000,shape_shift,123,0.010000
100000,shape_shift,456,0.000000
300000,shape_shift,42,0.050000
300000,shape_shift,123,0.070000
300000,shape_shift,456,0.040000
1000000,shape_shift,42,0.050000
1000000,shape_shift,123,0.050000
1000000,shape_shift,456,0.000000
3000000,shape_shift,42,0.160000
3000000,shape_shift,123,0.170000
3000000,shape_shift,456,0.080000
10000000,shape_shift,42,0.080000
10000000,shape_shift,123,0.110000
10000000,shape_shift,456,0.070000
0,non_centered_ego,42,0.020000
0,non_centered_ego,123,0.020000
0,non_centered_ego,456,0.010000
1000,non_centered_ego,42,0.010000
1000,non_centered_ego,123,0.020000
1000,non_centered_ego,456,0.020000
5000,non_centered_ego,42,0.020000
5000,non_centered_ego,123,0.030000
5000,non_centered_ego,456,0.020000
10000,non_centered_ego,42,0.040000
10000,non_centered_ego,123,0.010000
10000,non_centered_ego,456,0.010000
30000,non_centered_ego,42,0.030000
30000,non_centered_ego,123,0.040000
30000,non_centered_ego,456,0.030000
100000,non_centered_ego,42,0.040000
100000,non_centered_ego,123,0.040000
100000,non_centered_ego,456,0.050000
300000,non_centered_ego,42,0.030000
300000,non_centered_ego,123,0.040000
300000,non_centered_ego,456,0.010000
1000000,non_centered_ego,42,0.010000
1000000,non_centered_ego,123,0.000000
1000000,non_centered_ego,456,0.010000
3000000,non_centered_ego,42,0.020000
3000000,non_centered_ego,123,0.030000
3000000,non_centered_ego,456,0.020000
10000000,non_centered_ego,42,0.010000
10000000,non_centered_ego,123,0.020000
10000000,non_centered_ego,456,0.000000
